Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Estructurado,CC CUPON ESCALONADO LV CREDIFONDO SAF,CREDIFONDO SAF,26/02/2024,$,103.28,0.0295,,,,,,,,,,,74583450.47,245.0
Estructurado,CC CUPON ESCALONADO LVIII CREDIFONDO SAF,CREDIFONDO SAF,2/4/24,$,103.01,0.0271,,,,,,,,,,,94597654.71,378.0
Estructurado,CC CUPON ESCALONADO LX CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,102.53,0.0229,,,,,,,,,,,30513762.56,115.0
Estructurado,CC CUPON ESCALONADO LXI CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,102.52,0.0222,,,,,,,,,,,65740102.58,206.0
Estructurado,CC CUPON ESCALONADO LXIII CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,102.18,0.017,,,,,,,,,,,36554030.22,158.0
Estructurado,CC CUPON ESCALONADO LXIV CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,102.46,0.0197,,,,,,,,,,,90052132.77,335.0
Estructurado,CC CUPON ESCALONADO LXIX CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.2,0.011,,,,,,,,,,,41519925.31,175.0
Estructurado,CC CUPON ESCALONADO LXVI CREDIFONDO SAF,CREDIFONDO SAF,16/07/2024,$,101.51,0.0129,,,,,,,,,,,51673280.89,154.0
Estructurado,CC CUPON ESCALONADO LXVII CREDIFONDO SAF,CREDIFONDO SAF,16/07/2024,$,101.71,0.0147,,,,,,,,,,,70050885.42,274.0
Estructurado,CC CUPON ESCALONADO LXVIII CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.28,0.0118,,,,,,,,,,,337320730.15,1086.0
Estructurado,CC CUPON ESCALONADO LXX CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.32,0.0121,,,,,,,,,,,38127098.83,153.0
Estructurado,CC CUPON ESCALONADO LXXI CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,101.08,0.0095,,,,,,,,,,,134654894.7,511.0
Estructurado,CC CUPON ESCALONADO LXXII CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,101.02,0.0091,,,,,,,,,,,36547357.86,175.0
Estructurado,CC CUPON ESCALONADO LXXIII CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,100.91,0.008,,,,,,,,,,,22987255.3,92.0
Estructurado,CC CUPON ESCALONADO LXXIV CREDIFONDO SAF,CREDIFONDO SAF,29/08/2024,$,100.85,0.0071,,,,,,,,,,,189839345.96,649.0
Estructurado,CC Cupon Escalonado LXXIX CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.05,-0.0001,,,,,,,,,,,16398935.37,78.0
Estructurado,CC CUPON ESCALONADO LXXV CREDIFONDO SAF,CREDIFONDO SAF,29/08/2024,$,100.76,0.0062,,,,,,,,,,,30744790.12,112.0
Estructurado,CC CUPON ESCALONADO LXXVI CREDIFONDO SAF,CREDIFONDO SAF,12/9/24,$,100.47,0.0036,,,,,,,,,,,18908272.96,89.0
Estructurado,CC CUPON ESCALONADO LXXVII CREDIFONDO SAF,CREDIFONDO SAF,13/09/2024,$,100.61,0.0051,,,,,,,,,,,136102713.86,369.0
Estructurado,CC CUPON ESCALONADO LXXVIII CREDIFONDO SAF,CREDIFONDO SAF,13/09/2024,$,100.58,0.0046,,,,,,,,,,,30597203.32,94.0
Estructurado,CC CUPON ESCALONADO LXXX CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.45,0.0026,,,,,,,,,,,166170146.86,565.0
Estructurado,CC CUPON ESCALONADO LXXXI CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.26,0.001,,,,,,,,,,,19778018.54,88.0
Estructurado,CC CUPON ESCALONADO XLIX CREDIFONDO SAF,CREDIFONDO SAF,27/12/2023,$,104.37,0.0407,0.0006,,,,,,,,,,112926930.11,398.0
Estructurado,CC CUPON ESCALONADO XLVI CREDIFONDO SAF,CREDIFONDO SAF,16/11/2023,$,104.89,0.0402,0.0086,,,,,,,,,,157858318.33,522.0
Estructurado,IF 35 Custodia Dólares FMIV INTERFONDO,INTERFONDO,27/11/2023,$,52.62,0.0419,0.0071,,,,,,,,,,71298721.09,394.0
Estructurado,IF 36 Custodio Dólares FMIV INTERFONDO,INTERFONDO,21/12/2023,$,52.35,0.0411,0.0028,,,,,,,,,,59596393.39,320.0
Estructurado,IF 37 Custodia Dólares FMIV INTERFONDO,INTERFONDO,23/01/2024,$,51.95,0.0353,,,,,,,,,,,49333870.54,382.0
Estructurado,IF 38 Custodia Dólares FMIV INTERFONDO,INTERFONDO,26/02/2024,$,51.57,0.0291,,,,,,,,,,,55203634.59,334.0
Estructurado,IF 39 Custodia Dólares FMIV INTERFONDO,INTERFONDO,27/06/2024,$,51.17,0.0207,,,,,,,,,,,71032090.37,418.0
Estructurado,IF 41 Custodia Dólares FMIV INTERFONDO,INTERFONDO,19/09/2024,$,50.34,0.0042,,,,,,,,,,,44686575.51,244.0
Estructurado,Prudential Renta Segura $ I PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,25/08/2024,$,10.2,0.0089,,,,,,,,,,,3517152.44,40.0
Estructurado,SF Inversiones Smart $ I SCOTIA FONDOS,SCOTIA FONDOS,6/6/24,$,102.33,0.0197,,,,,,,,,,,92636183.15,300.0
Estructurado,SF Inversiones Smart $ II SCOTIA FONDOS,SCOTIA FONDOS,17/10/2024,$,100.59,0.0011,,,,,,,,,,,39344102.0,107.0
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS CREDIFONDO SAF,CREDIFONDO SAF,19/06/2008,S/.,162.92,0.1157,0.1561,-0.007,0.0144,0.0319,0.039,-0.0641,0.1833,0.3873,-0.2569,-0.0369,28847087.22,556.0
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,$,145.95,0.0773,0.1281,-0.0036,-0.0317,-0.0131,0.0576,-0.0723,0.1401,0.2536,-0.2343,-0.0592,19625851.24,328.0
