Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Estructurado,CC CUPON ESCALONADO LVII CREDIFONDO SAF,CREDIFONDO SAF,2/4/24,$,101.36,0.0104,,,,,,,,,,,66742367.48,224.0
Estructurado,CC CUPON ESCALONADO LVIII CREDIFONDO SAF,CREDIFONDO SAF,2/4/24,$,102.01,0.0171,,,,,,,,,,,95406275.13,379.0
Estructurado,CC CUPON ESCALONADO LX CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,100.96,0.0072,,,,,,,,,,,30587685.33,115.0
Estructurado,CC CUPON ESCALONADO LXI CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,101.29,0.01,,,,,,,,,,,66128304.0,207.0
Estructurado,CC CUPON ESCALONADO LXII CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,100.66,0.0019,,,,,,,,,,,129796442.5,390.0
Estructurado,CC CUPON ESCALONADO LXIII CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,100.65,0.0017,,,,,,,,,,,37038407.09,158.0
Estructurado,CC CUPON ESCALONADO LXIV CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,100.7,0.0022,,,,,,,,,,,90101704.17,335.0
Estructurado,CC CUPON ESCALONADO XL CREDIFONDO SAF,CREDIFONDO SAF,7/9/23,$,103.84,0.0228,0.0153,,,,,,,,,,59736699.42,226.0
Estructurado,CC CUPON ESCALONADO XLIII CREDIFONDO SAF,CREDIFONDO SAF,6/10/23,$,103.89,0.0203,0.0163,,,,,,,,,,49513048.95,176.0
Estructurado,CC CUPON ESCALONADO XLIX CREDIFONDO SAF,CREDIFONDO SAF,27/12/2023,$,102.54,0.0225,0.0006,,,,,,,,,,113085083.57,399.0
Estructurado,CC CUPON ESCALONADO XLVI CREDIFONDO SAF,CREDIFONDO SAF,16/11/2023,$,103.15,0.0228,0.0086,,,,,,,,,,158262440.38,523.0
Estructurado,CC CUPON ESCALONADO XLVIII CREDIFONDO SAF,CREDIFONDO SAF,22/12/2023,$,102.49,0.0227,0.0001,,,,,,,,,,54893114.88,210.0
Estructurado,CC CUPON ESCALONADO XXXII CREDIFONDO SAF,CREDIFONDO SAF,29/05/2023,$,105.12,,0.0272,,,,,,,,,,-0.03,1.0
Estructurado,CC CUPON ESCALONADO XXXVI CREDIFONDO SAF,CREDIFONDO SAF,17/08/2023,$,104.41,0.0245,0.0177,,,,,,,,,,53988606.92,219.0
Estructurado,IF 34 Custodia Dolares FMIV INTERFONDO,INTERFONDO,26/06/2023,$,52.56,,0.0234,,,,,,,,,,-34.12,356.0
Estructurado,IF 35 Custodia Dólares FMIV INTERFONDO,INTERFONDO,27/11/2023,$,51.67,0.0231,0.0071,,,,,,,,,,71394925.06,395.0
Estructurado,IF 36 Custodio Dólares FMIV INTERFONDO,INTERFONDO,21/12/2023,$,51.39,0.022,0.0028,,,,,,,,,,59557710.3,320.0
Estructurado,IF 37 Custodia Dólares FMIV INTERFONDO,INTERFONDO,23/01/2024,$,51.05,0.0172,,,,,,,,,,,49346705.56,382.0
Estructurado,IF 38 Custodia Dólares INTERFONDO,INTERFONDO,26/02/2024,$,50.66,0.011,,,,,,,,,,,55363036.82,336.0
Estructurado,IF 39 Custodia Dólares INTERFONDO,INTERFONDO,27/06/2024,$,50.14,0.0002,,,,,,,,,,,70962943.98,418.0
Estructurado,SF Inversiones Smart $ I SCOTIA FONDOS,SCOTIA FONDOS,6/6/24,$,100.6,0.0024,,,,,,,,,,,92858016.84,301.0
Estructurado,SF Rendimiento Binario $ XI SCOTIA FONDOS,SCOTIA FONDOS,1/9/22,$,104.52,0.0181,0.0289,-0.0052,,,,,,,,,66885621.22,238.0
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS CREDIFONDO SAF,CREDIFONDO SAF,19/06/2008,S/.,161.29,0.1046,0.1561,-0.007,0.0144,0.0319,0.039,-0.0641,0.1833,0.3873,-0.2569,-0.0369,28881277.77,543.0
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,$,142.97,0.0553,0.1281,-0.0036,-0.0317,-0.0131,0.0576,-0.0723,0.1401,0.2536,-0.2343,-0.0592,20440564.99,337.0
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO INTERFONDO,INTERFONDO,31/12/1995,$,67.19,0.0418,0.1257,-0.0022,-0.0388,-0.0322,0.0162,-0.0673,0.1365,0.2485,-0.2057,-0.0538,14932309.87,638.0
