tipo_fondo,fondo_mutuo,administradora,fec__inicio_operacion,moneda_cuota,valor_cuota,patrimonio_s__,participes_n,anos,categoria,fund_id,risk,logo
Estructurado,CC CUPON ESCALONADO LXXII,CREDIFONDO SAF,13/08/2024,$,101.02,36547357.86,175.0,0,Estructurado,34,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXIII,CREDIFONDO SAF,13/08/2024,$,100.91,22987255.3,92.0,0,Estructurado,35,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXIV,CREDIFONDO SAF,29/08/2024,$,100.85,189839345.96,649.0,0,Estructurado,36,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC Cupon Escalonado LXXIX,CREDIFONDO SAF,10/03/2024,$,100.05,16398935.37,78.0,0,Estructurado,37,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXV,CREDIFONDO SAF,29/08/2024,$,100.76,30744790.12,112.0,0,Estructurado,38,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVI,CREDIFONDO SAF,09/12/2024,$,100.47,18908272.96,89.0,0,Estructurado,39,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVII,CREDIFONDO SAF,13/09/2024,$,100.61,136102713.86,369.0,0,Estructurado,40,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVIII,CREDIFONDO SAF,13/09/2024,$,100.58,30597203.32,94.0,0,Estructurado,41,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXX,CREDIFONDO SAF,10/03/2024,$,100.45,166170146.86,565.0,0,Estructurado,42,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXXI,CREDIFONDO SAF,10/03/2024,$,100.26,19778018.54,88.0,0,Estructurado,43,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO XLIX,CREDIFONDO SAF,27/12/2023,$,104.37,112926930.11,398.0,1,Estructurado,44,Low,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO XLVI,CREDIFONDO SAF,16/11/2023,$,104.89,157858318.33,522.0,1,Estructurado,45,Low,/logosFondosMutuos/logoCredicorp.png
Estructurado,IF 35 Custodia Dólares FMIV,INTERFONDO,27/11/2023,$,52.62,71298721.09,394.0,1,Estructurado,46,Low,/logosFondosMutuos/logoInterFondos.png
Estructurado,IF 36 Custodio Dólares FMIV,INTERFONDO,21/12/2023,$,52.35,59596393.39,320.0,1,Estructurado,47,Low,/logosFondosMutuos/logoInterFondos.png
Estructurado,IF 37 Custodia Dólares FMIV,INTERFONDO,23/01/2024,$,51.95,49333870.54,382.0,0,Estructurado,48,,/logosFondosMutuos/logoInterFondos.png
Estructurado,IF 38 Custodia Dólares FMIV,INTERFONDO,26/02/2024,$,51.57,55203634.59,334.0,0,Estructurado,49,,/logosFondosMutuos/logoInterFondos.png
Estructurado,IF 39 Custodia Dólares FMIV,INTERFONDO,27/06/2024,$,51.17,71032090.37,418.0,0,Estructurado,50,,/logosFondosMutuos/logoInterFondos.png
Estructurado,IF 41 Custodia Dólares FMIV,INTERFONDO,19/09/2024,$,50.34,44686575.51,244.0,0,Estructurado,51,,/logosFondosMutuos/logoInterFondos.png
Estructurado,Prudential Renta Segura $ I,PRUDENTIALSAF SAF,25/08/2024,$,10.2,3517152.44,40.0,0,Estructurado,52,,/logosFondosMutuos/logoPrudential.png
Estructurado,SF Inversiones Smart $ I,SCOTIA FONDOS,06/06/2024,$,102.33,92636183.15,300.0,0,Estructurado,53,,/logosFondosMutuos/logoScotia2.png
Estructurado,SF Inversiones Smart $ II,SCOTIA FONDOS,17/10/2024,$,100.59,39344102.0,107.0,0,Estructurado,54,,/logosFondosMutuos/logoScotia2.png
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS,CREDIFONDO SAF,19/06/2008,S/.,162.92,28847087.22,556.0,16,Renta Mixta,55,Medium High,/logosFondosMutuos/logoCredicorp.png
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO,CREDIFONDO SAF,03/09/2007,$,145.95,19625851.24,328.0,17,Renta Mixta,56,Medium,/logosFondosMutuos/logoCredicorp.png
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO,INTERFONDO,31/12/1995,$,68.7,14597338.74,639.0,29,Renta Mixta,57,Medium,/logosFondosMutuos/logoInterFondos.png
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO,SCOTIA FONDOS,17/04/2007,$,10.97,4363668.35,208.0,17,Renta Mixta,58,Medium,/logosFondosMutuos/logoScotia2.png
Renta Mixta Moderado Soles,CRED. MODERADO VCS,CREDIFONDO SAF,16/06/2008,S/.,159.31,10077538.21,255.0,16,Renta Mixta,59,Medium Low,/logosFondosMutuos/logoCredicorp.png
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE,INTERFONDO,30/10/2007,S/.,159.92,20505413.42,408.0,17,Renta Mixta,60,Medium Low,/logosFondosMutuos/logoInterFondos.png
Renta Mixta Moderado Dólares,CRED. MODERADO,CREDIFONDO SAF,14/09/2002,$,57.21,28666640.58,409.0,22,Renta Mixta,61,Medium Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/.,CONTINENTAL FM,17/10/1997,S/.,368.25,234067426.49,6566.0,27,Renta Fija,62,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/.,CREDIFONDO SAF,03/09/2007,S/.,205.38,456511696.5,5262.0,17,Renta Fija,63,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES,INTERFONDO,14/03/2002,S/.,215.46,64528043.5,3450.0,22,Renta Fija,64,Low,/logosFondosMutuos/logoInterFondos.png
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES,FONDOS SURA SAF,19/05/2006,S/.,221.79,109091620.77,828.0,18,Renta Fija,65,Low,/logosFondosMutuos/logoSura.png
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $,CONTINENTAL FM,21/10/1997,$,205.85,288569228.94,2312.0,27,Renta Fija,66,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $,CREDIFONDO SAF,26/03/1996,$,269.23,690801831.06,6141.0,28,Renta Fija,67,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO,INTERFONDO,09/01/1997,$,113.02,84657300.04,3915.0,27,Renta Fija,68,Low,/logosFondosMutuos/logoInterFondos.png
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES,CONTINENTAL FM,12/02/2008,S/.,162.43,2627556697.17,73771.0,16,Renta Fija,69,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/.,CONTINENTAL FM,27/12/2005,S/.,196.55,407263099.55,5396.0,19,Renta Fija,70,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV,CONTINENTAL FM,10/03/2018,S/.,125.27,293390258.92,460.0,6,Renta Fija,71,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/,CREDIFONDO SAF,02/10/2014,S/.,153.37,809653839.22,10978.0,10,Renta Fija,72,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/,CREDIFONDO SAF,04/06/2000,S/.,333.61,2183626616.03,32793.0,24,Renta Fija,73,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,149.14,3773645.66,157.0,11,Renta Fija,74,Low,/logosFondosMutuos/logoDiviso.png
Inst. Deuda Corto Plazo S/,SF Liquidez S/.,SCOTIA FONDOS,30/01/2023,S/.,11.27,1177083339.99,15097.0,1,Renta Fija,75,Low,/logosFondosMutuos/logoScotia2.png
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES,FONDOS SURA SAF,25/03/2009,S/.,188.65,210884917.84,823.0,15,Renta Fija,76,Low,/logosFondosMutuos/logoSura.png
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES,FONDOS SURA SAF,05/09/2012,S/.,162.23,1695450597.76,2689.0,12,Renta Fija,77,Low,/logosFondosMutuos/logoSura.png
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES,CONTINENTAL FM,12/02/2008,$,121.61,3066297763.93,20795.0,16,Renta Fija,78,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $,CONTINENTAL FM,16/06/2000,$,178.46,884648596.87,3146.0,24,Renta Fija,79,Low,/logosFondosMutuos/logoBbva.svg
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $,CREDIFONDO SAF,18/02/2014,$,124.86,1585227263.42,5724.0,10,Renta Fija,80,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $,CREDIFONDO SAF,05/06/1999,$,187.6,3562317607.6,15706.0,25,Renta Fija,81,Low,/logosFondosMutuos/logoCredicorp.png
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES,DIVISO FONDOS SAF S.A.,19/03/2015,$,113.47,1890862.84,62.0,9,Renta Fija,82,Low,/logosFondosMutuos/logoDiviso.png
Inst. Deuda Corto Plazo $,-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,08/09/2022,$,106.0,,1.0,2,Renta Fija,83,Low,/logosFondosMutuos/logoFaro.png
Inst. Deuda Corto Plazo $,-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,08/09/2022,$,109.81,,24.0,2,Renta Fija,84,Low,/logosFondosMutuos/logoFaro.png
Inst. Deuda Corto Plazo $,SF LIQUIDEZ $,SCOTIA FONDOS,31/01/2023,$,10.88,2910674084.43,11569.0,1,Renta Fija,85,Low,/logosFondosMutuos/logoScotia2.png
Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES,FONDOS SURA SAF,31/08/2009,$,136.83,232476023.76,821.0,15,Renta Fija,86,Low,/logosFondosMutuos/logoSura.png
Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES,FONDOS SURA SAF,19/07/2012,$,123.32,1240348954.53,2352.0,12,Renta Fija,87,Low,/logosFondosMutuos/logoSura.png
Flexible,BLUM BONOS GLOBALES FM,BLUM SAF,25/03/2024,$,10.51,78598682.24,18.0,0,Flexible,88,,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,13.12,,3.0,2,Flexible,89,Low,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,13.07,,781.0,2,Flexible,90,Low,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,13.32,,1.0,2,Flexible,91,Low,/logosFondosMutuos/logoBlum.png
Flexible,Blum Cash FM,BLUM SAF,08/11/2022,$,11.02,22521252.38,278.0,2,Flexible,92,Low,/logosFondosMutuos/logoBlum.png
Flexible,Blum Cash S/ FM,BLUM SAF,12/12/2023,S/.,11.09,3763664.85,2299.0,1,Flexible,93,Low,/logosFondosMutuos/logoBlum.png
Flexible,BLUM MONEY MARKET $ FM,BLUM SAF,14/02/2023,$,10.91,13270897.6,11.0,1,Flexible,94,Low,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.67,,8.0,2,Flexible,95,Medium Low,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.62,,324.0,2,Flexible,96,Medium Low,/logosFondosMutuos/logoBlum.png
Flexible,-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12,,1.0,2,Flexible,97,Medium Low,/logosFondosMutuos/logoBlum.png
Flexible,CC DEUDA CORPORATIVA SOLES,CREDIFONDO SAF,31/07/2019,S/.,120.81,71150763.11,609.0,5,Flexible,98,Medium Low,/logosFondosMutuos/logoCredicorp.png
Flexible,CC FACTORING $,CREDIFONDO SAF,20/06/2023,$,110.12,382389334.09,956.0,1,Flexible,99,Low,/logosFondosMutuos/logoCredicorp.png
Flexible,CC RENTA OPERATIVA I (FI),CREDIFONDO SAF,28/06/2019,$,134.21,130831524.9,534.0,5,Flexible,100,Low,/logosFondosMutuos/logoCredicorp.png
Flexible,CORIL CASH CONSERVADOR S/,CORIL SAF,08/10/2022,S/.,1144.61,5448111.12,21.0,2,Flexible,101,Low,/logosFondosMutuos/logoCoril.png
Flexible,CRED CAP FACTORING S/,CREDIFONDO SAF,12/07/2020,S/.,129.26,80110588.11,321.0,4,Flexible,102,Low,/logosFondosMutuos/logoCredicorp.png
Flexible,-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,105.48,,4.0,6,Flexible,103,Medium Low,/logosFondosMutuos/logoFaro.png
Flexible,-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,104.52,,8.0,6,Flexible,104,Medium Low,/logosFondosMutuos/logoFaro.png
Flexible,-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,103.28,,34.0,6,Flexible,105,Medium Low,/logosFondosMutuos/logoFaro.png
Flexible,IF Futuro Seguro $,INTERFONDO,27/12/2021,$,49.99,9523113.58,158.0,3,Flexible,106,Medium Low,/logosFondosMutuos/logoInterFondos.png
Flexible,IF Futuro Seguro S/,INTERFONDO,27/12/2021,S/.,104.05,8609830.07,219.0,3,Flexible,107,Medium Low,/logosFondosMutuos/logoInterFondos.png
Flexible,IF INVERSION GLOBAL,INTERFONDO,26/01/2015,$,70.16,27918189.84,663.0,9,Flexible,108,Medium,/logosFondosMutuos/logoInterFondos.png
Flexible,IF OPORTUNIDAD,INTERFONDO,12/06/2013,$,0.0,387666861.53,4227.0,11,Flexible,109,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF OPORTUNIDAD SERIE A,INTERFONDO,12/06/2013,$,59.52,,3981.0,11,Flexible,110,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF OPORTUNIDAD SERIE B,INTERFONDO,12/06/2013,$,59.92,,92.0,11,Flexible,111,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,IF OPORTUNIDAD SOLES,INTERFONDO,16/11/2012,S/.,0.0,676121701.96,8919.0,12,Flexible,112,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,147.16,,8305.0,12,Flexible,113,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF OPORTUNIDAD SOLES SERIE B,INTERFONDO,16/11/2012,S/.,147.88,,41.0,12,Flexible,114,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,IF Portafolio Dinámico,INTERFONDO,28/12/2017,$,72.57,82389288.69,489.0,7,Flexible,115,Low,/logosFondosMutuos/logoInterFondos.png
