bond_key,emisor,credit_rating_agency,risk_classification
13,Banco de la Nación,moodys_local_peru,AA+
16,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
17,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
18,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
19,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
20,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
21,Banco Falabella Perú S.A.,moodys_local_peru,ML-1
23,Banco GNB Peru S.A.,moodys_local_peru,ML-1
24,Banco GNB Peru S.A.,moodys_local_peru,ML-1
25,Banco GNB Peru S.A.,moodys_local_peru,ML-1
31,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1
32,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1
33,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1
34,Banco Ripley Perú S.A.,moodys_local_peru,ML-1
35,Banco Santander Perú S.A.,moodys_local_peru,AAA
36,Banco BBVA Perú,moodys_local_peru,AAA
37,Banco BBVA Perú,moodys_local_peru,ML-2+
38,Banco BBVA Perú,moodys_local_peru,AA+
39,Banco BBVA Perú,moodys_local_peru,AA+
40,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2
41,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2
42,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2
46,Cementos Pacasmayo S.A.A.,moodys_local_peru,AAA
47,Cementos Pacasmayo S.A.A.,moodys_local_peru,AAA
51,Compartamos Financiera S.A.,moodys_local_peru,ML-1
52,Compartamos Financiera S.A.,moodys_local_peru,ML-1
53,Compartamos Financiera S.A.,moodys_local_peru,ML-1
54,Compartamos Financiera S.A.,moodys_local_peru,ML-1
55,Compartamos Financiera S.A.,moodys_local_peru,ML-1
57,Corporación Azucarera del Perú S.A.,moodys_local_peru,A
58,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
59,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
60,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
61,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
62,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
63,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
64,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA
65,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1
66,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1
67,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1
68,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1
69,Corporación Primax,moodys_local_peru,AA+
70,Corporación Primax,moodys_local_peru,AA+
71,Corporación Primax,moodys_local_peru,AA+
72,Corporación Primax,moodys_local_peru,AA+
73,Corporación Primax,moodys_local_peru,AA+
74,Cosapi S.A.,moodys_local_peru,A-
75,Crediscotia Financiera S.A.,moodys_local_peru,ML-1
76,Crediscotia Financiera S.A.,moodys_local_peru,ML-1
77,Crediscotia Financiera S.A.,moodys_local_peru,EQL-1+
78,Crediscotia Financiera S.A.,moodys_local_peru,ML-1
80,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
81,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
82,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
83,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
84,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
85,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
86,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1
87,Pacífico Compañía de Seguros y Reaseguros,moodys_local_peru,AA+
88,Pacífico Compañía de Seguros y Reaseguros,moodys_local_peru,AA+
103,Enel Distribución Perú S.A.A.,moodys_local_peru,ML-2+
106,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA
107,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA
108,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA
109,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA
110,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA
112,Inverfal S.A.A.,moodys_local_peru,AA+
113,Inverfal S.A.A.,moodys_local_peru,AA+
114,Inverfal S.A.A.,moodys_local_peru,AA
115,Financiera Confianza S.A.A.,moodys_local_peru,ML-1
116,Financiera Confianza S.A.A.,moodys_local_peru,ML-1
117,Financiera Confianza S.A.A.,moodys_local_peru,ML-1
118,Financiera Confianza S.A.A.,moodys_local_peru,ML-1
119,Financiera Efectiva S.A.,moodys_local_peru,ML-1
120,Financiera Efectiva S.A.,moodys_local_peru,ML-1
123,Fondo Mivivienda S.A.,moodys_local_peru,AAA
124,Fondo Mivivienda S.A.,moodys_local_peru,AAA
125,Fondo Mivivienda S.A.,moodys_local_peru,AAA
126,Fondo Mivivienda S.A.,moodys_local_peru,AAA
127,Gas Natural de Lima y Callao S.A.,moodys_local_peru,AAA
128,Gas Natural de Lima y Callao S.A.,moodys_local_peru,AAA
132,Banco Internacional del Perú - Interbank,moodys_local_peru,ML-1
133,Banco Internacional del Perú - Interbank,moodys_local_peru,ML-1
134,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA
135,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA
136,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA
137,Incimmet S.A.,moodys_local_peru,ML-2
140,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),moodys_local_peru,AA-
155,Luz del Sur S.A.A.,moodys_local_peru,ML-1
156,Luz del Sur S.A.A.,moodys_local_peru,ML-1
157,Luz del Sur S.A.A.,moodys_local_peru,ML-1
158,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,AA
159,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,AA
160,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,ML-1
161,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,ML-1
162,Red Vial 5 S.A. (Antes Norvial S.A.),moodys_local_peru,AA
164,Softys Perú S.A.C.,moodys_local_peru,AA
165,Red de Energía del Perú S.A.,moodys_local_peru,AAA
166,Red de Energía del Perú S.A.,moodys_local_peru,AAA
171,Yura S.A.,moodys_local_peru,AAA
172,Yura S.A.,moodys_local_peru,AAA
173,Yura S.A.,moodys_local_peru,AAA
