Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
07 - Corto Plazo Dólares,PRUDENTIALSAF SAF-Prudential Corto Plazo $ SERIE A,PRUDENTIALSAF SAF,1/8/24,$,10.56645801,1.06%,,,,,,,,154,0.03%,31/10/2024
07 - Corto Plazo Dólares,PRUDENTIALSAF SAF-Prudential Corto Plazo $ SERIE B,PRUDENTIALSAF SAF,1/8/24,$,10.46203874,1.10%,,,,,,,,1,0.00%,31/10/2024
12 - Estructurado,CC BARRERA CONDICIONAL XIII CREDIFONDO SAF,CREDIFONDO SAF,15/06/2022,$,105.198556,-3.39%,0.37%,8.46%,,,,"19,165,318.17",0.04%,147,0.03%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LII CREDIFONDO SAF,CREDIFONDO SAF,23/01/2024,$,106.701405,6.52%,,,,,,"90,001,199.64",0.20%,273,0.06%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LV CREDIFONDO SAF,CREDIFONDO SAF,26/02/2024,$,103.275094,2.95%,,,,,,"74,583,450.47",0.16%,245,0.05%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LVIII CREDIFONDO SAF,CREDIFONDO SAF,2/4/24,$,103.008266,2.71%,,,,,,"94,597,654.71",0.21%,378,0.08%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LX CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,102.534171,2.29%,,,,,,"30,513,762.56",0.07%,115,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXI CREDIFONDO SAF,CREDIFONDO SAF,2/5/24,$,102.516083,2.22%,,,,,,"65,740,102.58",0.14%,206,0.04%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXIII CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,102.182067,1.70%,,,,,,"36,554,030.22",0.08%,158,0.03%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXIV CREDIFONDO SAF,CREDIFONDO SAF,13/06/2024,$,102.462634,1.97%,,,,,,"90,052,132.77",0.20%,335,0.07%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXIX CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.203432,1.10%,,,,,,"41,519,925.31",0.09%,175,0.04%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXVI CREDIFONDO SAF,CREDIFONDO SAF,16/07/2024,$,101.50588,1.29%,,,,,,"51,673,280.89",0.11%,154,0.03%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXVII CREDIFONDO SAF,CREDIFONDO SAF,16/07/2024,$,101.706037,1.47%,,,,,,"70,050,885.42",0.15%,274,0.06%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXVIII CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.28491,1.18%,,,,,,"337,320,730.15",0.73%,"1,086.00",0.22%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXX CREDIFONDO SAF,CREDIFONDO SAF,30/07/2024,$,101.315259,1.21%,,,,,,"38,127,098.83",0.08%,153,0.03%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXI CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,101.079977,0.95%,,,,,,"134,654,894.70",0.29%,511,0.10%,31/10/2024
