Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
29 - Flexible,BLUM SAF-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,13.32395175,-100.00%,13.68%,4.94%,,,,,,1,0.00%,22/09/2024
29 - Flexible,Blum Cash FM BLUM SAF,BLUM SAF,11/8/22,$,11.02295066,4.36%,4.59%,0.92%,,,,"22,521,252.38",0.05%,278,0.06%,31/10/2024
29 - Flexible,Blum Cash S/ FM BLUM SAF,BLUM SAF,12/12/23,S/.,11.09237234,4.31%,0.39%,,,,,"3,763,664.85",0.01%,"2,299.00",0.47%,31/10/2024
29 - Flexible,BLUM MONEY MARKET $ FM BLUM SAF,BLUM SAF,14/02/2023,$,10.9080649,4.47%,4.41%,,,,,"13,270,897.60",0.03%,11,0.00%,31/10/2024
29 - Flexible,Blum Renta Global FM BLUM SAF,BLUM SAF,16/03/2022,$,0,,,,,,,"5,389,727.64",0.01%,332,0.07%,31/10/2024
29 - Flexible,BLUM SAF-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.67489587,6.49%,6.22%,-5.71%,,,,,,8,0.00%,31/10/2024
29 - Flexible,BLUM SAF-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.61652242,6.22%,6.06%,-5.84%,,,,,,324,0.07%,31/10/2024
29 - Flexible,BLUM SAF-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12273914,-100.00%,6.41%,-5.57%,,,,,,1,0.00%,15/04/2024
29 - Flexible,CC DEUDA CORPORATIVA SOLES CREDIFONDO SAF,CREDIFONDO SAF,31/07/2019,S/.,120.810138,8.74%,13.62%,-5.39%,-3.77%,5.61%,1.48%,"71,150,763.11",0.15%,609,0.13%,31/10/2024
29 - Flexible,CC FACTORING $ CREDIFONDO SAF,CREDIFONDO SAF,20/06/2023,$,110.118856,6.06%,3.82%,,,,,"382,389,334.09",0.83%,956,0.20%,31/10/2024
29 - Flexible,CC RENTA OPERATIVA I (FI) CREDIFONDO SAF,CREDIFONDO SAF,28/06/2019,$,134.208958,5.31%,6.76%,5.49%,4.88%,4.80%,2.59%,"130,831,524.90",0.28%,534,0.11%,31/10/2024
29 - Flexible,CORIL CASH CONSERVADOR S/ CORIL SAF,CORIL SAF,10/8/22,S/.,1144.6139,5.16%,6.25%,2.36%,,,,"5,448,111.12",0.01%,21,0.00%,31/10/2024
29 - Flexible,CRED CAP FACTORING S/ CREDIFONDO SAF,CREDIFONDO SAF,7/12/20,S/.,129.259723,6.56%,8.29%,6.73%,4.18%,0.48%,,"80,110,588.11",0.17%,321,0.07%,31/10/2024
29 - Flexible,FARO DEUDA GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0,,,,,,,"65,077,346.68",0.14%,46,0.01%,31/10/2024
29 - Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,105.4814438,2.65%,4.47%,-11.74%,-1.94%,6.17%,6.56%,,,4,0.00%,31/10/2024
29 - Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,104.5182037,2.55%,4.35%,-11.84%,-2.05%,6.04%,6.35%,,,8,0.00%,31/10/2024
29 - Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,103.275387,2.45%,4.23%,-11.94%,-2.17%,5.92%,5.97%,,,34,0.01%,31/10/2024
29 - Flexible,IF Futuro Seguro $ INTERFONDO,INTERFONDO,27/12/2021,$,49.986,7.27%,8.32%,-13.85%,-0.03%,,,"9,523,113.58",0.02%,158,0.03%,31/10/2024
29 - Flexible,IF Futuro Seguro S/ INTERFONDO,INTERFONDO,27/12/2021,S/.,104.054,7.18%,10.38%,-12.01%,-0.05%,,,"8,609,830.07",0.02%,219,0.04%,31/10/2024
29 - Flexible,IF INVERSION GLOBAL INTERFONDO,INTERFONDO,26/01/2015,$,70.1594,11.34%,14.05%,-20.28%,11.75%,14.96%,15.65%,"27,918,189.84",0.06%,663,0.14%,31/10/2024
29 - Flexible,IF OPORTUNIDAD INTERFONDO,INTERFONDO,6/12/13,$,0,,,,-100.00%,2.05%,2.69%,"387,666,861.53",0.84%,"4,227.00",0.87%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SERIE A,INTERFONDO,6/12/13,$,59.5174,3.59%,3.36%,1.44%,,,,,,"3,981.00",0.82%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SERIE B,INTERFONDO,6/12/13,$,59.9247,3.75%,3.54%,1.62%,,,,,,92,0.02%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SERIE C,INTERFONDO,6/12/13,$,59.5295,,,,,,,,,154,0.03%,31/10/2024
29 - Flexible,IF OPORTUNIDAD SOLES INTERFONDO,INTERFONDO,16/11/2012,S/.,0,,,,,-100.00%,3.52%,"676,121,701.96",1.47%,"8,919.00",1.83%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,147.1632,4.77%,7.80%,0.26%,-1.01%,,,,,"8,305.00",1.70%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE B,INTERFONDO,16/11/2012,S/.,147.8778,4.88%,7.92%,0.38%,-0.89%,,,,,41,0.01%,31/10/2024
29 - Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE C,INTERFONDO,16/11/2012,S/.,147.2061,,,,,,,,,573,0.12%,31/10/2024
29 - Flexible,IF Portafolio Dinámico INTERFONDO,INTERFONDO,28/12/2017,$,72.5693,3.52%,5.04%,2.82%,2.17%,5.92%,6.88%,"82,389,288.69",0.18%,489,0.10%,31/10/2024
29 - Flexible,IF Portafolio Dinamico Soles INTERFONDO,INTERFONDO,5/5/21,S/.,0,,-100.00%,10.22%,9.98%,,,"460,151,312.16",1.00%,"3,544.00",0.73%,31/10/2024
29 - Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE A,INTERFONDO,5/5/21,S/.,135.9855,4.47%,,,,,,,,"3,479.00",0.71%,31/10/2024
29 - Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE B,INTERFONDO,5/5/21,S/.,136.6144,4.89%,,,,,,,,65,0.01%,31/10/2024
29 - Flexible,INDEPENDIENTE PMG INDEPENDIENTE SAF,INDEPENDIENTE SAF,31/12/2020,$,112.2128261,8.78%,8.29%,-8.81%,4.72%,-0.28%,,"61,271,574.54",0.13%,"1,325.00",0.27%,31/10/2024
29 - Flexible,SCOTIA DEPÓSITO DISPONIBLE S/. SCOTIA FONDOS,SCOTIA FONDOS,16/08/2011,S/.,12.47863067,5.24%,-12.96%,1.09%,0.89%,1.96%,2.94%,"51,066,006.71",0.11%,"7,899.00",1.62%,31/10/2024
29 - Flexible,SCOTIA FONDO CASH $ SCOTIA FONDOS,SCOTIA FONDOS,7/3/01,$,16.41786228,4.02%,-3.10%,-1.86%,0.94%,1.35%,2.89%,"58,972,560.35",0.13%,"1,927.00",0.40%,31/10/2024
29 - Flexible,SCOTIA FONDO CASH S/. SCOTIA FONDOS,SCOTIA FONDOS,21/06/2001,S/.,20.9186038,3.88%,-6.19%,-1.77%,-0.54%,3.58%,3.96%,"51,208,972.98",0.11%,"5,254.00",1.08%,31/10/2024
29 - Flexible,SCOTIA FONDO PREMIUM $ SCOTIA FONDOS,SCOTIA FONDOS,2/7/96,$,20.66198353,2.84%,3.39%,-24.72%,-0.48%,5.28%,4.94%,"35,366,604.66",0.08%,"1,654.00",0.34%,31/10/2024
29 - Flexible,SCOTIA FONDO PREMIUM S/. SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,S/.,12.02923116,1.36%,-0.23%,-30.65%,-0.62%,5.89%,6.62%,"11,163,716.07",0.02%,"1,695.00",0.35%,31/10/2024
29 - Flexible,SF Corto Plazo Plus $ SCOTIA FONDOS,SCOTIA FONDOS,1/12/23,$,10.6188984,4.24%,0.57%,,,,,"1,001,003,830.56",2.18%,"2,418.00",0.50%,31/10/2024
29 - Flexible,SF Corto Plazo Plus S/ SCOTIA FONDOS,SCOTIA FONDOS,28/02/2024,S/.,10.40716619,3.65%,,,,,,"277,968,379.71",0.60%,"1,826.00",0.37%,31/10/2024
29 - Flexible,SF INST DE RENTA $ IX SCOTIA FONDOS,SCOTIA FONDOS,25/04/2023,$,1160.276876,1.71%,13.71%,,,,,"11,353,257.84",0.02%,12,0.00%,31/10/2024
29 - Flexible,SF Inst. Renta $ VIII SCOTIA FONDOS,SCOTIA FONDOS,13/12/2022,$,1120.41149,-2.50%,19.26%,-3.98%,,,,"64,502,376.96",0.14%,39,0.01%,31/10/2024
29 - Flexible,SF INST RENTA S/ 1Y III SCOTIA FONDOS,SCOTIA FONDOS,21/08/2024,S/.,1012.114005,1.14%,,,,,,"58,345,258.20",0.13%,11,0.00%,31/10/2024
29 - Flexible,SF INSTI DE RENTA $ X SCOTIA FONDOS,SCOTIA FONDOS,9/5/23,$,1147.945317,1.04%,13.07%,,,,,"27,269,837.36",0.06%,29,0.01%,31/10/2024
29 - Flexible,SF Insti Renta S/ 1Y II SCOTIA FONDOS,SCOTIA FONDOS,28/05/2024,S/.,1030.119232,2.58%,,,,,,"73,504,705.63",0.16%,12,0.00%,31/10/2024
29 - Flexible,SF Institucional de Renta $ XI SCOTIA FONDOS,SCOTIA FONDOS,5/9/23,$,1057.043363,-0.47%,5.84%,,,,,"27,759,039.97",0.06%,37,0.01%,31/10/2024
29 - Flexible,SF Institucional Renta $ V SCOTIA FONDOS,SCOTIA FONDOS,4/5/22,$,1104.311115,-3.01%,8.41%,4.91%,,,,"126,128,546.42",0.27%,93,0.02%,31/10/2024
29 - Flexible,SF Institucional Renta $ VI SCOTIA FONDOS,SCOTIA FONDOS,16/08/2022,$,1135.529183,-2.91%,14.72%,1.68%,,,,"113,009,295.02",0.25%,59,0.01%,31/10/2024
29 - Flexible,SF Institucional Renta $ VII SCOTIA FONDOS,SCOTIA FONDOS,12/7/22,$,1039.466068,-2.26%,2.05%,4.04%,,,,"35,506,762.94",0.08%,46,0.01%,31/10/2024
29 - Flexible,SF NOTA ESTRUCTURADA IX SCOTIA FONDOS,SCOTIA FONDOS,26/09/2024,$,96.28346813,-3.87%,,,,,,"36,484,493.52",0.08%,60,0.01%,31/10/2024
29 - Flexible,SF Nota Estructurada VIII SCOTIA FONDOS,SCOTIA FONDOS,10/5/24,$,105.9773035,5.64%,,,,,,"22,641,342.29",0.05%,48,0.01%,31/10/2024
29 - Flexible,SF Renta $ 1Y VII SCOTIA FONDOS,SCOTIA FONDOS,13/12/2023,$,10.56260778,4.81%,0.33%,,,,,"257,540,843.81",0.56%,479,0.10%,31/10/2024
29 - Flexible,SF Renta $ 1Y VIII SCOTIA FONDOS,SCOTIA FONDOS,3/4/24,$,10.34865531,3.16%,,,,,,"186,705,873.11",0.41%,254,0.05%,31/10/2024
29 - Flexible,SF Renta $ 6M XXI SCOTIA FONDOS,SCOTIA FONDOS,7/8/24,$,10.15382086,1.21%,,,,,,"356,668,177.17",0.78%,720,0.15%,31/10/2024
29 - Flexible,SF RENTA $ 6M XXII SCOTIA FONDOS,SCOTIA FONDOS,9/10/24,$,10.05277606,0.32%,,,,,,"155,940,734.85",0.34%,400,0.08%,31/10/2024
29 - Flexible,SF RENTA SOLES 6M V SCOTIA FONDOS,SCOTIA FONDOS,19/06/2024,S/.,10.27938341,-89.76%,,,,,,"306,430,514.65",0.67%,799,0.16%,31/10/2024
29 - Flexible,SFNotaEstructurada IV-F. Insti SCOTIA FONDOS,SCOTIA FONDOS,4/1/22,$,100.8107768,11.32%,3.12%,-12.22%,,,,"35,396,424.32",0.08%,54,0.01%,31/10/2024
30 - Fondo de Fondos,BLUM USA 500 FDF BLUM SAF,BLUM SAF,15/10/2024,$,0,,,,,,,"5,862,217.49",0.01%,59,0.01%,31/10/2024
30 - Fondo de Fondos,BLUM SAF-BLUM USA 500 FDF SERIE A,BLUM SAF,15/10/2024,$,9.80699207,-2.11%,,,,,,,,2,0.00%,31/10/2024
30 - Fondo de Fondos,BLUM SAF-BLUM USA 500 FDF SERIE B,BLUM SAF,15/10/2024,$,9.80316621,-2.14%,,,,,,,,58,0.01%,31/10/2024
30 - Fondo de Fondos,CRED CAP. INVESTMENT GRADE CREDIFONDO SAF,CREDIFONDO SAF,4/9/18,$,117.58331,4.27%,5.95%,-10.81%,-2.18%,8.79%,12.27%,"166,312,751.72",0.36%,919,0.19%,31/10/2024
30 - Fondo de Fondos,CRED CAP VISION I CREDIFONDO SAF,CREDIFONDO SAF,8/2/16,$,120.052862,4.26%,5.79%,-13.88%,0.27%,6.07%,10.20%,"83,328,323.95",0.18%,644,0.13%,31/10/2024
30 - Fondo de Fondos,CRED CAP VISION III CREDIFONDO SAF,CREDIFONDO SAF,10/2/16,$,156.926029,9.06%,11.75%,-17.79%,8.24%,10.12%,18.16%,"35,793,880.45",0.08%,698,0.14%,31/10/2024
30 - Fondo de Fondos,CRED. DEUDA GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,114.324672,3.78%,5.55%,-15.55%,-1.17%,6.19%,10.42%,"21,553,983.23",0.05%,675,0.14%,31/10/2024
30 - Fondo de Fondos,CRED. EQUILIBRADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,114.011721,8.88%,6.62%,-20.27%,-5.73%,2.91%,3.81%,"10,043,652.71",0.02%,892,0.18%,31/10/2024
30 - Fondo de Fondos,CREDI. ACC. LATAM-PACIFICO CREDIFONDO SAF,CREDIFONDO SAF,14/08/2012,$,51.480503,-18.57%,26.69%,-1.87%,-8.82%,-5.86%,10.15%,"9,350,850.61",0.02%,235,0.05%,31/10/2024
30 - Fondo de Fondos,CREDICORP ACCIONES ASIA CREDIFONDO SAF,CREDIFONDO SAF,5/6/17,$,127.554803,10.72%,0.39%,-18.41%,-4.37%,24.73%,21.03%,"28,503,783.91",0.06%,490,0.10%,31/10/2024
30 - Fondo de Fondos,CREDICORP ACCIONES EEUU CREDIFONDO SAF,CREDIFONDO SAF,26/05/2017,$,235.899878,16.54%,34.41%,-30.16%,18.73%,28.82%,29.28%,"181,260,166.21",0.39%,"2,177.00",0.45%,31/10/2024
30 - Fondo de Fondos,CREDICORP ACCIONES EUROPA CREDIFONDO SAF,CREDIFONDO SAF,26/05/2017,$,162.116088,1.74%,21.46%,-26.55%,29.02%,14.04%,36.40%,"50,956,886.26",0.11%,849,0.17%,31/10/2024
30 - Fondo de Fondos,Credicorp Activos Preferentes CREDIFONDO SAF,CREDIFONDO SAF,6/6/18,$,121.58969,7.33%,7.09%,-10.28%,1.27%,4.06%,14.70%,"79,778,512.84",0.17%,504,0.10%,31/10/2024
30 - Fondo de Fondos,CREDICORP DEUDA FLOTANTE CREDIFONDO SAF,CREDIFONDO SAF,2/3/17,$,127.324948,5.01%,10.29%,-3.82%,6.16%,0.66%,6.24%,"67,396,500.63",0.15%,818,0.17%,31/10/2024
30 - Fondo de Fondos,CREDICORP DEUDA HIGH YIELD CREDIFONDO SAF,CREDIFONDO SAF,2/3/17,$,128.40271,5.24%,10.06%,-8.62%,2.27%,3.63%,12.45%,"142,865,029.35",0.31%,707,0.15%,31/10/2024
30 - Fondo de Fondos,FdeF BBVA Apreciacion Capital CONTINENTAL FM,CONTINENTAL FM,24/01/2014,$,140.5198018,10.36%,13.72%,-9.40%,9.73%,3.87%,8.63%,"34,983,000.15",0.08%,308,0.06%,31/10/2024
30 - Fondo de Fondos,FdeF BBVA Generacion de Flujo CONTINENTAL FM,CONTINENTAL FM,1/3/10,$,99.11923615,2.68%,5.63%,-14.30%,2.37%,3.09%,-0.78%,"28,011,895.79",0.06%,171,0.04%,31/10/2024
30 - Fondo de Fondos,FdeF BBVA Preservacion Capital CONTINENTAL FM,CONTINENTAL FM,23/02/2010,$,106.3454397,4.13%,4.52%,-0.85%,-0.39%,1.08%,-0.11%,"10,296,891.56",0.02%,87,0.02%,31/10/2024
30 - Fondo de Fondos,FdeF BTG Renta Internacional BTG PACTUAL PERU SAF,BTG PACTUAL PERU SAF,16/10/2020,$,0,,,,,,,"3,477,147.58",0.01%,12,0.00%,31/10/2024
30 - Fondo de Fondos,BTG PACTUAL PERU SAF-FdeF BTG Renta Internacional SERIE A,BTG PACTUAL PERU SAF,16/10/2020,$,111.6055717,4.99%,8.23%,-14.51%,10.04%,4.37%,,,,12,0.00%,31/10/2024
30 - Fondo de Fondos,BTG PACTUAL PERU SAF-FdeF BTG Renta Internacional SERIE B,BTG PACTUAL PERU SAF,16/10/2020,$,110.5181628,,,,-100.00%,4.47%,,,,2,0.00%,19/08/2021
30 - Fondo de Fondos,FdeF CC Acciones Innovacion CREDIFONDO SAF,CREDIFONDO SAF,26/04/2021,$,111.596771,24.06%,39.33%,-38.91%,5.91%,,,"60,235,823.31",0.13%,612,0.13%,31/10/2024
30 - Fondo de Fondos,FdeF CRED ACC SECTOR SEGURID CREDIFONDO SAF,CREDIFONDO SAF,2/10/18,$,152.139774,12.56%,19.38%,-31.87%,18.94%,21.14%,28.59%,"35,687,355.27",0.08%,467,0.10%,31/10/2024
30 - Fondo de Fondos,FdeF Cred Renta Estrategica CREDIFONDO SAF,CREDIFONDO SAF,13/02/2019,$,116.314965,4.07%,7.17%,-7.51%,1.58%,5.35%,5.23%,"466,086,261.42",1.01%,"1,014.00",0.21%,31/10/2024
30 - Fondo de Fondos,FdeF IF Global Thematics INTERFONDO,INTERFONDO,26/03/2021,$,57.9536,20.88%,21.48%,-27.44%,8.97%,,,"14,572,192.30",0.03%,358,0.07%,31/10/2024
30 - Fondo de Fondos,FdF BBVA CONSERV GLO $ CONTINENTAL FM,CONTINENTAL FM,6/6/02,$,172.171579,4.15%,5.14%,-5.89%,1.44%,2.48%,5.84%,"17,176,045.56",0.04%,113,0.02%,31/10/2024
30 - Fondo de Fondos,FdF BBVA Renta Fija Mcdo Emerg CONTINENTAL FM,CONTINENTAL FM,2/2/24,$,107.0515962,5.89%,,,,,,"55,313,019.78",0.12%,237,0.05%,31/10/2024
30 - Fondo de Fondos,FdF CC Acciones China CREDIFONDO SAF,CREDIFONDO SAF,1/3/21,$,55.54751,10.68%,-22.29%,-34.01%,-1.23%,,,"5,220,723.93",0.01%,93,0.02%,31/10/2024
30 - Fondo de Fondos,FdF CC Duración Objetivo Latam CREDIFONDO SAF,CREDIFONDO SAF,10/5/24,$,103.035322,2.69%,,,,,,"197,386,368.12",0.43%,455,0.09%,31/10/2024
30 - Fondo de Fondos,FDF CRED CAP VISION II CREDIFONDO SAF,CREDIFONDO SAF,8/2/16,$,143.285686,7.20%,9.56%,-16.66%,5.13%,9.02%,15.31%,"144,809,656.76",0.31%,"1,188.00",0.24%,31/10/2024
30 - Fondo de Fondos,FdF Cred. Tendencias Globales CREDIFONDO SAF,CREDIFONDO SAF,19/10/2020,$,102.407508,12.36%,29.15%,-35.75%,1.20%,8.79%,,"36,861,034.71",0.08%,287,0.06%,31/10/2024
30 - Fondo de Fondos,FdF Credicorp Deuda Flexible CREDIFONDO SAF,CREDIFONDO SAF,16/07/2020,$,100.762269,2.36%,7.52%,-12.41%,-0.42%,5.05%,,"60,634,717.01",0.13%,174,0.04%,31/10/2024
30 - Fondo de Fondos,FdF Credicorp Impacto Sostenib CREDIFONDO SAF,CREDIFONDO SAF,6/12/21,$,88.979327,9.08%,7.80%,-22.42%,2.15%,,,"8,268,398.75",0.02%,132,0.03%,31/10/2024
30 - Fondo de Fondos,FdF ED ACC GLOB OPT EL DORADO SAF,EL DORADO SAF,29/01/2024,$,0,,,,,,,"1,283,430.95",0.00%,10,0.00%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FdF ED ACC GLOB OPT SERIE A,EL DORADO SAF,29/01/2024,$,113.59303,,,,,,,,,1,0.00%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FdF ED ACC GLOB OPT SERIE B,EL DORADO SAF,29/01/2024,$,113.347175,13.35%,,,,,,,,9,0.00%,31/10/2024
30 - Fondo de Fondos,FdF El Dorado Instr Deuda EEUU EL DORADO SAF,EL DORADO SAF,7/6/22,$,0,,,,,,,"6,222,543.34",0.01%,16,0.00%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE A,EL DORADO SAF,7/6/22,$,122.411835,9.89%,9.11%,2.00%,,,,,,8,0.00%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE B,EL DORADO SAF,7/6/22,$,121.146327,9.62%,8.79%,1.83%,,,,,,7,0.00%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE I,EL DORADO SAF,7/6/22,$,122.7778068,10.00%,9.24%,2.07%,,,,,,1,0.00%,31/10/2024
30 - Fondo de Fondos,FdF Faro Deuda Global FARO CAPITAL SAFI,FARO CAPITAL SAFI,11/6/20,$,100.018742,2.22%,3.73%,-12.37%,-2.30%,,,"7,600,938.04",0.02%,73,0.01%,31/10/2024
30 - Fondo de Fondos,FdF Faro Global Innovation FARO CAPITAL SAFI,FARO CAPITAL SAFI,27/01/2020,$,123.8944757,5.04%,22.05%,-30.88%,-2.71%,44.11%,,"4,594,297.07",0.01%,92,0.02%,31/10/2024
30 - Fondo de Fondos,FdF Faro Renta Variable Global FARO CAPITAL SAFI,FARO CAPITAL SAFI,11/6/20,$,151.1907082,11.83%,16.17%,-21.28%,11.21%,,,"16,267,034.54",0.04%,119,0.02%,31/10/2024
30 - Fondo de Fondos,FdF IF Enfoque Global INTERFONDO,INTERFONDO,18/12/2019,$,50.466,3.79%,3.85%,-9.01%,-0.69%,3.77%,-0.11%,"15,203,983.56",0.03%,247,0.05%,31/10/2024
30 - Fondo de Fondos,FdF IF Inversión EEUU FMIV INTERFONDO,INTERFONDO,1/12/22,$,67.0702,15.86%,21.65%,-5.20%,,,,"14,271,365.03",0.03%,486,0.10%,31/10/2024
30 - Fondo de Fondos,FdF IF RealState Student Accom INTERFONDO,INTERFONDO,27/09/2021,$,55.7939,3.03%,2.46%,5.04%,0.53%,,,"342,416,262.31",0.74%,895,0.18%,31/10/2024
30 - Fondo de Fondos,FdF IF XXIII Rend Global 360 INTERFONDO,INTERFONDO,8/2/24,$,51.9848,3.74%,,,,,,"39,798,738.64",0.09%,222,0.05%,31/10/2024
30 - Fondo de Fondos,FdF IF XXIV Rend Global 360 INTERFONDO,INTERFONDO,25/04/2024,$,51.407,2.56%,,,,,,"102,838,107.92",0.22%,413,0.08%,31/10/2024
30 - Fondo de Fondos,FdF IF XXIX Rend Global 360 INTERFONDO,INTERFONDO,26/07/2024,$,50.7918,1.25%,,,,,,"74,445,007.66",0.16%,397,0.08%,31/10/2024
30 - Fondo de Fondos,FdF IF XXV Rend Global 360 INTERFONDO,INTERFONDO,15/03/2024,$,51.5699,2.94%,,,,,,"34,491,043.13",0.08%,251,0.05%,31/10/2024
30 - Fondo de Fondos,FdF IF XXVI Rend Global 360 INTERFONDO,INTERFONDO,1/4/24,$,51.5248,2.82%,,,,,,"64,655,275.79",0.14%,334,0.07%,31/10/2024
30 - Fondo de Fondos,FdF IF XXVII Rend Global 321 INTERFONDO,INTERFONDO,17/05/2024,$,51.2381,2.19%,,,,,,"28,799,664.48",0.06%,174,0.04%,31/10/2024
30 - Fondo de Fondos,FdF IF XXVIII Rend Global 360 INTERFONDO,INTERFONDO,4/6/24,$,51.115,1.95%,,,,,,"81,478,999.99",0.18%,399,0.08%,31/10/2024
30 - Fondo de Fondos,FdF IF 30 Rend Global 332 INTERFONDO,INTERFONDO,23/08/2024,$,50.5944,0.91%,,,,,,"81,655,147.16",0.18%,318,0.07%,31/10/2024
30 - Fondo de Fondos,FdF IF 31 Rend Global 360 INTERFONDO,INTERFONDO,21/10/2024,$,50.2244,0.11%,,,,,,"59,644,847.21",0.13%,297,0.06%,31/10/2024
30 - Fondo de Fondos,FDF IND RENTA FIJA FMIV INDEPENDIENTE SAF,INDEPENDIENTE SAF,11/6/24,$,0,,,,,,,"15,788,447.59",0.03%,351,0.07%,31/10/2024
30 - Fondo de Fondos,INDEPENDIENTE SAF-FDF IND RENTA FIJA FMIV SERIE A,INDEPENDIENTE SAF,11/6/24,$,102.8755106,2.88%,,,,,,,,344,0.07%,31/10/2024
30 - Fondo de Fondos,INDEPENDIENTE SAF-FDF IND RENTA FIJA FMIV SERIE D,INDEPENDIENTE SAF,11/6/24,$,102.8759362,2.88%,,,,,,,,7,0.00%,31/10/2024
30 - Fondo de Fondos,FdF Part y Crec Int BLANCO SAFI S.A.C.,BLANCO SAFI S.A.C.,19/04/2023,$,0,,,,,,,"4,253,663.79",0.01%,30,0.01%,31/10/2024
30 - Fondo de Fondos,BLANCO SAFI S.A.C.-FdF Part y Crec Int SERIE A,BLANCO SAFI S.A.C.,19/04/2023,$,1.001147,-1.84%,,,,,,,,19,0.00%,31/10/2024
30 - Fondo de Fondos,BLANCO SAFI S.A.C.-FdF Part y Crec Int SERIE B,BLANCO SAFI S.A.C.,19/04/2023,$,1.001488,-2.11%,,,,,,,,11,0.00%,31/10/2024
30 - Fondo de Fondos,FdF Sura Corto Plazo Global FONDOS SURA SAF,FONDOS SURA SAF,15/11/2022,$,110.1161473,4.21%,4.70%,0.46%,,,,"73,173,108.64",0.16%,357,0.07%,31/10/2024
30 - Fondo de Fondos,FdF SURA RENTA DOLARES FONDOS SURA SAF,FONDOS SURA SAF,14/06/2005,$,181.1613828,2.98%,4.22%,-1.08%,-1.34%,7.68%,7.77%,"76,202,929.91",0.17%,623,0.13%,31/10/2024
30 - Fondo de Fondos,FF BBVA ACC GLOB MILLENIALS CONTINENTAL FM,CONTINENTAL FM,16/01/2023,$,132.1396257,22.08%,8.13%,,,,,"4,537,971.43",0.01%,62,0.01%,31/10/2024
30 - Fondo de Fondos,FF BBVA ACC TENDENC GLOB CONTINENTAL FM,CONTINENTAL FM,15/04/2010,$,120.1482327,7.25%,13.28%,-23.34%,6.76%,9.23%,22.26%,"36,245,008.52",0.08%,361,0.07%,31/10/2024
30 - Fondo de Fondos,FF BBVA ACCIONES GLOB RE CONTINENTAL FM,CONTINENTAL FM,10/8/22,$,95.8590384,4.60%,6.53%,-14.05%,,,,"10,793,572.42",0.02%,87,0.02%,31/10/2024
30 - Fondo de Fondos,FF BBVA DIST EST GLOBAL CONTINENTAL FM,CONTINENTAL FM,9/5/18,$,115.1629853,3.85%,7.15%,-8.73%,0.72%,7.03%,4.89%,"359,653,592.22",0.78%,853,0.18%,31/10/2024
30 - Fondo de Fondos,FF BBVA DIST HIGH YIELD EEUU CONTINENTAL FM,CONTINENTAL FM,7/7/21,$,105.3274089,5.48%,12.27%,-11.70%,0.74%,,,"49,154,166.75",0.11%,208,0.04%,31/10/2024
