Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N
Flexible,SCOTIA FONDO PREMIUM S/. SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,S/.,11.96,0.0074,-0.0023,-0.3065,-0.0062,0.0589,0.0662,-0.0062,0.0608,0.0418,0.0265,0.0438,0.1048678718,-0.3065,0.0662,-0.0014,11720505.64,1757
Flexible,SF Corto Plazo Plus $ SCOTIA FONDOS,SCOTIA FONDOS,1/12/23,$,10.43,0.0242,0.0057,,,,,,,,,,0.01308147545,0.0057,0.0242,0.0150,486410149.3,1118
Flexible,SF Corto Plazo Plus S/ SCOTIA FONDOS,SCOTIA FONDOS,28/02/2024,S/.,10.21,0.0172,,,,,,,,,,,#DIV/0!,0.0172,0.0172,0.0172,52518855.77,336
Flexible,SF INST DE RENTA $ IX SCOTIA FONDOS,SCOTIA FONDOS,25/04/2023,$,1143.79,0.0026,0.1371,,,,,,,,,,0.09510586207,0.0026,0.1371,0.0699,11393639.67,12
Flexible,SF Inst. Renta $ VIII SCOTIA FONDOS,SCOTIA FONDOS,13/12/2022,$,1124.99,-0.021,0.1926,-0.0398,,,,,,,,,0.129091802,-0.0398,0.1926,0.0439,65933649.14,39
Flexible,SF INSTI DE RENTA $ X SCOTIA FONDOS,SCOTIA FONDOS,9/5/23,$,1133.15,-0.0026,0.1307,,,,,,,,,,0.09425733393,-0.0026,0.1307,0.0641,27403519.74,29
Flexible,SF Insti Renta S/ 1Y II SCOTIA FONDOS,SCOTIA FONDOS,28/05/2024,S/.,1009.17,0.0049,,,,,,,,,,,#DIV/0!,0.0049,0.0049,0.0049,72009791.65,12
Flexible,SF Institucional de Renta $ XI SCOTIA FONDOS,SCOTIA FONDOS,5/9/23,$,1056.79,-0.005,0.0584,,,,,,,,,,0.04483056993,-0.0050,0.0584,0.0267,28252593.7,37
Flexible,SF Institucional Renta $ V SCOTIA FONDOS,SCOTIA FONDOS,4/5/22,$,1109.89,-0.0252,0.0841,0.0491,,,,,,,,,0.05581514131,-0.0252,0.0841,0.0360,129050225.7,93
Flexible,SF Institucional Renta $ VI SCOTIA FONDOS,SCOTIA FONDOS,16/08/2022,$,1140.63,-0.0248,0.1472,0.0168,,,,,,,,,0.08973917762,-0.0248,0.1472,0.0464,115563554.2,59
Flexible,SF Institucional Renta $ VII SCOTIA FONDOS,SCOTIA FONDOS,12/7/22,$,1049.38,-0.0132,0.0205,0.0404,,,,,,,,,0.02709446438,-0.0132,0.0404,0.0159,36491467.89,46
Flexible,SF INSTITUCIONAL RENTA SOL 1Y SCOTIA FONDOS,SCOTIA FONDOS,17/08/2023,S/.,1082.81,0.0426,0.0323,,,,,,,,,,0.007283199846,0.0323,0.0426,0.0375,85205213.02,10
Flexible,SF Nota Estructurada VIII SCOTIA FONDOS,SCOTIA FONDOS,10/5/24,$,103.61,0.0328,,,,,,,,,,,#DIV/0!,0.0328,0.0328,0.0328,22535466.5,48
Flexible,SF RENTA $ 1Y VI SCOTIA FONDOS,SCOTIA FONDOS,13/07/2023,$,10.6,0.0291,0.0277,,,,,,,,,,0.0009899494937,0.0277,0.0291,0.0284,111005824.4,226
Flexible,SF Renta $ 1Y VII SCOTIA FONDOS,SCOTIA FONDOS,13/12/2023,$,10.37,0.0294,0.0033,,,,,,,,,,0.01845548699,0.0033,0.0294,0.0164,257684238.4,481
Flexible,SF Renta $ 1Y VIII SCOTIA FONDOS,SCOTIA FONDOS,3/4/24,$,10.16,0.0133,,,,,,,,,,,#DIV/0!,0.0133,0.0133,0.0133,186694501.7,254
Flexible,SF RENTA $ 6M XIX SCOTIA FONDOS,SCOTIA FONDOS,2/2/24,$,10.26,0.0223,,,,,,,,,,,#DIV/0!,0.0223,0.0223,0.0223,274616552.9,549
Flexible,SF Renta $ 6M XX SCOTIA FONDOS,SCOTIA FONDOS,3/4/24,$,10.17,0.0137,,,,,,,,,,,#DIV/0!,0.0137,0.0137,0.0137,185898855.5,471
Flexible,SF RENTA SOLES 6M V SCOTIA FONDOS,SCOTIA FONDOS,19/06/2024,S/.,10.06,-0.8997,,,,,,,,,,,#DIV/0!,-0.8997,-0.8997,-0.8997,300219846,802
Flexible,SFNotaEstructurada IV-F. Insti SCOTIA FONDOS,SCOTIA FONDOS,4/1/22,$,94.73,0.046,0.0312,-0.1222,,,,,,,,,0.0931323789,-0.1222,0.0460,-0.0150,33859137.65,53
Fondo de Fondos,INDEPENDIENTE SAF,INDEPENDIENTE SAF,11/6/24,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,8864774.44,31
Fondo de Fondos,INDEPENDIENTE SAF-- SERIE A,INDEPENDIENTE SAF,11/6/24,$,100.13,0.0013,,,,,,,,,,,#DIV/0!,0.0013,0.0013,0.0013,,30
Fondo de Fondos,INDEPENDIENTE SAF-- SERIE D,INDEPENDIENTE SAF,11/6/24,$,100.13,0.0013,,,,,,,,,,,#DIV/0!,0.0013,0.0013,0.0013,,1
Fondo de Fondos,CRED CAP. INVESTMENT GRADE CREDIFONDO SAF,CREDIFONDO SAF,4/9/18,$,114.66,0.0167,0.0595,-0.1081,-0.0218,0.0879,0.1227,-0.0046,,,,,0.07688653669,-0.1081,0.1227,0.0218,156749435.5,884
Fondo de Fondos,CRED CAP VISION I CREDIFONDO SAF,CREDIFONDO SAF,8/2/16,$,116.91,0.0154,0.0579,-0.1388,0.0027,0.0607,0.102,-0.0483,0.0649,0.0624,,,0.07402137829,-0.1388,0.1020,0.0199,103351707.4,697
Fondo de Fondos,CRED CAP VISION III CREDIFONDO SAF,CREDIFONDO SAF,10/2/16,$,152.44,0.0594,0.1175,-0.1779,0.0824,0.1012,0.1816,-0.1068,0.1531,0.0748,,,0.1189880328,-0.1779,0.1816,0.0539,40423385.44,721
Fondo de Fondos,CRED. DEUDA GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,111.23,0.0097,0.0555,-0.1555,-0.0117,0.0619,0.1042,-0.0454,0.0583,0.0865,-0.0206,0.0221,0.07318524441,-0.1555,0.1042,0.0150,19944546.16,596
Fondo de Fondos,CRED. EQUILIBRADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,112.7,0.0763,0.0662,-0.2027,-0.0573,0.0291,0.0381,-0.0384,0.1407,0.273,-0.1771,-0.0156,0.1351627692,-0.2027,0.2730,0.0120,10237570.4,840
Fondo de Fondos,CREDI. ACC. LATAM-PACIFICO CREDIFONDO SAF,CREDIFONDO SAF,14/08/2012,$,52.5,-0.1695,0.2669,-0.0187,-0.0882,-0.0586,0.1015,-0.1483,0.1436,0.0593,-0.2855,-0.1583,0.1621795201,-0.2855,0.2669,-0.0323,9461290.73,185
Fondo de Fondos,CREDICORP ACCIONES ASIA CREDIFONDO SAF,CREDIFONDO SAF,5/6/17,$,123.37,0.0709,0.0039,-0.1841,-0.0437,0.2473,0.2103,-0.1548,0.1515,,,,0.1611545304,-0.1841,0.2473,0.0377,28871338.28,470
Fondo de Fondos,CREDICORP ACCIONES EEUU CREDIFONDO SAF,CREDIFONDO SAF,26/05/2017,$,228.06,0.1267,0.3441,-0.3016,0.1873,0.2882,0.2928,-0.0293,0.1122,,,,0.2113182907,-0.3016,0.3441,0.1276,166762599.2,2004
Fondo de Fondos,CREDICORP ACCIONES EUROPA CREDIFONDO SAF,CREDIFONDO SAF,26/05/2017,$,172.41,0.0821,0.2146,-0.2655,0.2902,0.1404,0.364,-0.1207,0.0042,,,,0.2109183453,-0.2655,0.3640,0.0887,55238012.25,898
Fondo de Fondos,Credicorp Activos Preferentes CREDIFONDO SAF,CREDIFONDO SAF,6/6/18,$,117.23,0.0348,0.0709,-0.1028,0.0127,0.0406,0.147,-0.0309,,,,,0.07846242049,-0.1028,0.1470,0.0246,64817785.58,444
Fondo de Fondos,CREDICORP DEUDA FLOTANTE CREDIFONDO SAF,CREDIFONDO SAF,2/3/17,$,124.91,0.0302,0.1029,-0.0382,0.0616,0.0066,0.0624,-0.0101,0.0144,,,,0.0453556344,-0.0382,0.1029,0.0287,72568757.05,696
Fondo de Fondos,CREDICORP DEUDA HIGH YIELD CREDIFONDO SAF,CREDIFONDO SAF,2/3/17,$,124.3,0.0188,0.1006,-0.0862,0.0227,0.0363,0.1245,-0.0235,0.0397,,,,0.06610112248,-0.0862,0.1245,0.0291,120179522.1,642
Fondo de Fondos,FdeF BBVA Apreciacion Capital CONTINENTAL FM,CONTINENTAL FM,24/01/2014,$,136.89,0.075,0.1372,-0.094,0.0973,0.0387,0.0863,-0.0415,0.0894,-0.0017,-0.0638,0.0193,0.07430505305,-0.0940,0.1372,0.0311,40995515.82,319
Fondo de Fondos,FdeF BBVA Generacion de Flujo CONTINENTAL FM,CONTINENTAL FM,1/3/10,$,96.34,-0.002,0.0563,-0.143,0.0237,0.0309,-0.0078,-0.086,0.1234,0.2272,-0.2186,-0.069,0.1231289893,-0.2186,0.2272,-0.0059,39803103.56,191
Fondo de Fondos,FdeF BBVA Preservacion Capital CONTINENTAL FM,CONTINENTAL FM,23/02/2010,$,103.77,0.0161,0.0452,-0.0085,-0.0039,0.0108,-0.0011,-0.0519,0.0464,0.0972,-0.1198,-0.0425,0.05739962464,-0.1198,0.0972,-0.0011,25476542.62,100
Fondo de Fondos,FdeF BTG Renta Internacional BTG PACTUAL PERU SAF,BTG PACTUAL PERU SAF,16/10/2020,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,3760023.89,13
Fondo de Fondos,BTG PACTUAL PERU SAF-FdeF BTG Renta Internacional SERIE A,BTG PACTUAL PERU SAF,16/10/2020,$,108.69,0.0225,0.0823,-0.1451,0.1004,0.0437,,,,,,,0.09768381647,-0.1451,0.1004,0.0208,,13
Fondo de Fondos,BTG PACTUAL PERU SAF-FdeF BTG Renta Internacional SERIE B,BTG PACTUAL PERU SAF,16/10/2020,$,110.52,,,,-1,0.0447,,,,,,,0.7387144543,-1.0000,0.0447,-0.4777,,2
Fondo de Fondos,FdeF CC Acciones Innovacion CREDIFONDO SAF,CREDIFONDO SAF,26/04/2021,$,108.66,0.208,0.3933,-0.3891,0.0591,,,,,,,,0.3338860023,-0.3891,0.3933,0.0678,50878829.17,459
Fondo de Fondos,FdeF CRED ACC SECTOR SEGURID CREDIFONDO SAF,CREDIFONDO SAF,2/10/18,$,146.19,0.0816,0.1938,-0.3187,0.1894,0.2114,0.2859,-0.11,,,,,0.215848226,-0.3187,0.2859,0.0762,36920901.19,499
Fondo de Fondos,FdeF Cred Renta Estrategica CREDIFONDO SAF,CREDIFONDO SAF,13/02/2019,$,113.66,0.0169,0.0717,-0.0751,0.0158,0.0535,0.0523,,,,,,0.0526719818,-0.0751,0.0717,0.0225,402980256.6,908
Fondo de Fondos,FdeF IF Global Thematics INTERFONDO,INTERFONDO,26/03/2021,$,53.91,0.1245,0.2148,-0.2744,0.0897,,,,,,,,0.2152560104,-0.2744,0.2148,0.0387,15067136.74,313
Fondo de Fondos,FdF BBVA Renta Fija Mcdo Emerg CONTINENTAL FM,CONTINENTAL FM,2/2/24,$,104.21,0.0308,,,,,,,,,,,#DIV/0!,0.0308,0.0308,0.0308,43141412.3,182
Fondo de Fondos,FdF CC Acciones China CREDIFONDO SAF,CREDIFONDO SAF,1/3/21,$,49.87,-0.0063,-0.2229,-0.3401,-0.0123,,,,,,,,0.1642952221,-0.3401,-0.0063,-0.1454,5619706.85,114
Fondo de Fondos,FdF CC Duración Objetivo Latam CREDIFONDO SAF,CREDIFONDO SAF,10/5/24,$,101.08,0.0075,,,,,,,,,,,#DIV/0!,0.0075,0.0075,0.0075,41986809.54,159
Fondo de Fondos,FDF CRED CAP VISION II CREDIFONDO SAF,CREDIFONDO SAF,8/2/16,$,139.23,0.0417,0.0956,-0.1666,0.0513,0.0902,0.1531,-0.0816,0.111,0.0821,,,0.1017262011,-0.1666,0.1531,0.0419,160211985.5,1281
Fondo de Fondos,FdF Cred. Tendencias Globales CREDIFONDO SAF,CREDIFONDO SAF,19/10/2020,$,100.24,0.0998,0.2915,-0.3575,0.012,0.0879,,,,,,,0.2382403261,-0.3575,0.2915,0.0267,39246228.71,293
Fondo de Fondos,FdF Credicorp Deuda Flexible CREDIFONDO SAF,CREDIFONDO SAF,16/07/2020,$,98.16,-0.0028,0.0752,-0.1241,-0.0042,0.0505,,,,,,,0.07685334736,-0.1241,0.0752,-0.0011,54743913.91,160
Fondo de Fondos,FdF Credicorp Impacto Sostenib CREDIFONDO SAF,CREDIFONDO SAF,6/12/21,$,85.33,0.046,0.078,-0.2242,0.0215,,,,,,,,0.1382985508,-0.2242,0.0780,-0.0197,9053768.45,146
Fondo de Fondos,FdF ED ACC GLOB OPT EL DORADO SAF,EL DORADO SAF,29/01/2024,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,1263670.6,10
Fondo de Fondos,EL DORADO SAF-FdF ED ACC GLOB OPT SERIE A,EL DORADO SAF,29/01/2024,$,109.79,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,,1
Fondo de Fondos,EL DORADO SAF-FdF ED ACC GLOB OPT SERIE B,EL DORADO SAF,29/01/2024,$,109.66,0.0966,,,,,,,,,,,#DIV/0!,0.0966,0.0966,0.0966,,9
Fondo de Fondos,FdF El Dorado Instr Deuda EEUU EL DORADO SAF,EL DORADO SAF,7/6/22,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,5803672.16,18
Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE A,EL DORADO SAF,7/6/22,$,118.15,0.0607,0.0911,0.02,,,,,,,,,0.03567412695,0.0200,0.0911,0.0573,,9
Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE B,EL DORADO SAF,7/6/22,$,117.05,0.0591,0.0879,0.0183,,,,,,,,,0.03497198879,0.0183,0.0879,0.0551,,8
Fondo de Fondos,EL DORADO SAF-FdF El Dorado Instr Deuda EEUU SERIE I,EL DORADO SAF,7/6/22,$,118.46,0.0613,0.0924,0.0207,,,,,,,,,0.03595474007,0.0207,0.0924,0.0581,,1
Fondo de Fondos,FdF Faro Deuda Global FARO CAPITAL SAFI,FARO CAPITAL SAFI,11/6/20,$,97.19,-0.0067,0.0373,-0.1237,-0.023,,,,,,,,0.06806141222,-0.1237,0.0373,-0.0290,6974287.2,76
Fondo de Fondos,FdF Faro Global Innovation FARO CAPITAL SAFI,FARO CAPITAL SAFI,27/01/2020,$,125.53,0.0643,0.2205,-0.3088,-0.0271,0.4411,,,,,,,0.2797301378,-0.3088,0.4411,0.0780,6031392.52,104
Fondo de Fondos,FdF Faro Renta Variable Global FARO CAPITAL SAFI,FARO CAPITAL SAFI,11/6/20,$,147,0.0874,0.1617,-0.2128,0.1121,,,,,,,,0.1694405107,-0.2128,0.1617,0.0371,18164541.04,131
Fondo de Fondos,FdF IF Enfoque Global INTERFONDO,INTERFONDO,18/12/2019,$,49.09,0.0097,0.0385,-0.0901,-0.0069,0.0377,-0.0011,,,,,,0.04720096044,-0.0901,0.0385,-0.0020,15895319.81,221
Fondo de Fondos,FdF IF Inversión EEUU FMIV INTERFONDO,INTERFONDO,1/12/22,$,64.59,0.1158,0.2165,-0.052,,,,,,,,,0.1356401981,-0.0520,0.2165,0.0934,8766214.55,354
Fondo de Fondos,FdF IF RealState Student Accom INTERFONDO,INTERFONDO,27/09/2021,$,55.26,0.0205,0.0246,0.0504,0.0053,,,,,,,,0.01873944147,0.0053,0.0504,0.0252,332265013.9,898
Fondo de Fondos,FdF IF XIX Rend Global 360 INTERFONDO,INTERFONDO,25/08/2023,$,52.36,0.0244,0.0181,,,,,,,,,,0.004454772721,0.0181,0.0244,0.0213,66062411.3,353
Fondo de Fondos,FdF IF XVIII Rend Global 360 INTERFONDO,INTERFONDO,27/07/2023,$,52.53,0.0249,0.0223,,,,,,,,,,0.001838477631,0.0223,0.0249,0.0236,92579006.6,416
Fondo de Fondos,FdF IF XX Rend Global 360 INTERFONDO,INTERFONDO,22/09/2023,$,52.14,0.025,0.0137,,,,,,,,,,0.007990306627,0.0137,0.0250,0.0194,60555635.26,370
Fondo de Fondos,FdF IF XXI Rend Global 360 INTERFONDO,INTERFONDO,26/10/2023,$,51.93,0.0251,0.0088,,,,,,,,,,0.01152584053,0.0088,0.0251,0.0170,58847187.33,399
Fondo de Fondos,FdF IF XXIII Rend Global 360 INTERFONDO,INTERFONDO,8/2/24,$,51.11,0.0201,,,,,,,,,,,#DIV/0!,0.0201,0.0201,0.0201,39838118.2,222
Fondo de Fondos,FdF IF XXIV Rend Global 360 INTERFONDO,INTERFONDO,25/04/2024,$,50.56,0.0087,,,,,,,,,,,#DIV/0!,0.0087,0.0087,0.0087,103229900.9,415
Fondo de Fondos,FdF IF XXV Rend Global 360 INTERFONDO,INTERFONDO,15/03/2024,$,50.77,0.0135,,,,,,,,,,,#DIV/0!,0.0135,0.0135,0.0135,34591895.73,251
Fondo de Fondos,FdF IF XXVI Rend Global 360 INTERFONDO,INTERFONDO,1/4/24,$,50.7,0.0117,,,,,,,,,,,#DIV/0!,0.0117,0.0117,0.0117,64764253.84,334
Fondo de Fondos,FdF IF XXVIII Rend Global 360 INTERFONDO,INTERFONDO,4/6/24,$,50.3,0.0032,,,,,,,,,,,#DIV/0!,0.0032,0.0032,0.0032,81750613.33,400
Fondo de Fondos,FdF Part y Crec Int BLANCO SAFI S.A.C.,BLANCO SAFI S.A.C.,19/04/2023,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,4341869.07,31
Fondo de Fondos,BLANCO SAFI S.A.C.-FdF Part y Crec Int SERIE A,BLANCO SAFI S.A.C.,19/04/2023,$,1.02,0.0011,,,,,,,,,,,#DIV/0!,0.0011,0.0011,0.0011,,20
Fondo de Fondos,BLANCO SAFI S.A.C.-FdF Part y Crec Int SERIE B,BLANCO SAFI S.A.C.,19/04/2023,$,1.02,0.0003,,,,,,,,,,,#DIV/0!,0.0003,0.0003,0.0003,,11
Fondo de Fondos,FdF Sura Corto Plazo Global FONDOS SURA SAF,FONDOS SURA SAF,15/11/2022,$,108.27,0.0246,0.047,0.0046,,,,,,,,,0.02121131773,0.0046,0.0470,0.0254,84753632.87,376
Fondo de Fondos,FdF SURA RENTA DOLARES FONDOS SURA SAF,FONDOS SURA SAF,14/06/2005,$,177.05,0.0065,0.0422,-0.0108,-0.0134,0.0768,0.0777,0.0131,0.0285,0.0318,0.0065,0.0234,0.03065107739,-0.0134,0.0777,0.0257,53654113.61,524
Fondo de Fondos,FF BBVA ACC GLOB MILLENIALS CONTINENTAL FM,CONTINENTAL FM,16/01/2023,$,125.87,0.1628,0.0813,,,,,,,,,,0.05762920267,0.0813,0.1628,0.1221,2759560.62,40
Fondo de Fondos,FF BBVA ACC TENDENC GLOB CONTINENTAL FM,CONTINENTAL FM,15/04/2010,$,118.28,0.0558,0.1328,-0.2334,0.0676,0.0923,0.2226,-0.1158,0.231,0.51,-0.3969,-0.1235,0.2489411139,-0.3969,0.5100,0.0402,41699460.91,353
Fondo de Fondos,FF BBVA ACCIONES GLOB RE CONTINENTAL FM,CONTINENTAL FM,10/8/22,$,87.84,-0.0415,0.0653,-0.1405,,,,,,,,,0.1029246326,-0.1405,0.0653,-0.0389,9541240.11,81
Fondo de Fondos,FF BBVA DIST EST GLOBAL CONTINENTAL FM,CONTINENTAL FM,9/5/18,$,112.65,0.0158,0.0715,-0.0873,0.0072,0.0703,0.0489,-0.002,,,,,0.05501750371,-0.0873,0.0715,0.0178,319069944.6,742
Fondo de Fondos,FF BBVA DIST HIGH YIELD EEUU CONTINENTAL FM,CONTINENTAL FM,7/7/21,$,101.51,0.0166,0.1227,-0.117,0.0074,,,,,,,,0.09807155126,-0.1170,0.1227,0.0074,45801961.58,194
Fondo de Fondos,FF BBVA ESTRATE CONSERV $ CONTINENTAL FM,CONTINENTAL FM,6/6/02,$,168.33,0.0183,0.0514,-0.0589,0.0144,0.0248,0.0584,0.0017,0.0302,0.0124,-0.0062,0.0149,0.03104832011,-0.0589,0.0584,0.0147,19350291.63,110
Fondo de Fondos,FF BBVA ESTRATE CONSERV S/ CONTINENTAL FM,CONTINENTAL FM,21/04/1998,S/.,250.91,0.0156,0.0664,-0.0429,0.0097,0.0013,0.0412,-0.0296,0.0757,0.1385,-0.0814,-0.0032,0.06114259488,-0.0814,0.1385,0.0174,13878029.96,599
Fondo de Fondos,FF BBVA ESTRATE DINAMICO $ CONTINENTAL FM,CONTINENTAL FM,6/10/11,$,62.17,0.0324,0.0888,-0.1119,0.0125,-0.0637,0.0924,-0.1494,0.124,0.0232,-0.1957,-0.1755,0.1149187832,-0.1957,0.1240,-0.0294,2815873.79,119
Fondo de Fondos,FF BBVA ESTRATE DINAMICO S/ CONTINENTAL FM,CONTINENTAL FM,16/03/2007,S/.,114.86,0.0319,0.1077,-0.0968,0.1156,-0.0483,0.0043,-0.1375,0.2119,0.4919,-0.3143,-0.0775,0.2099234445,-0.3143,0.4919,0.0263,17623299.12,1478
Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA $ CONTINENTAL FM,CONTINENTAL FM,18/03/2021,$,102.59,0.0235,0.0734,-0.0836,0.0193,,,,,,,,0.06591805519,-0.0836,0.0734,0.0082,2466454.4,76
Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA S/ CONTINENTAL FM,CONTINENTAL FM,19/03/2007,S/.,136.41,0.0221,0.0875,-0.0717,0.045,-0.0087,0.0424,-0.0692,0.1177,0.2597,-0.1628,-0.0215,0.1117935175,-0.1628,0.2597,0.0219,13276790.67,2010
Fondo de Fondos,FF CC LATAM INNOVACION CREDIFONDO SAF,CREDIFONDO SAF,3/7/23,$,89.49,-0.1737,0.0735,,,,,,,,,,0.1747967963,-0.1737,0.0735,-0.0501,2938832.51,405
Fondo de Fondos,FF CC RENTA GLOBAL INV GRADE CREDIFONDO SAF,CREDIFONDO SAF,10/11/22,$,109.02,0.0085,0.0635,0.0124,,,,,,,,,0.03069044368,0.0085,0.0635,0.0281,64372503.74,358
Fondo de Fondos,FF Creci Inmobiliario EEUU EL DORADO SAF,EL DORADO SAF,4/1/21,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,96821559.42,240
Fondo de Fondos,EL DORADO SAF-FF Creci Inmobiliario EEUU SERIE A,EL DORADO SAF,4/1/21,$,109.63,0.006,0.023,0.0214,0.0427,,,,,,,,0.01504822802,0.0060,0.0427,0.0233,,186
Fondo de Fondos,EL DORADO SAF-FF Creci Inmobiliario EEUU SERIE B,EL DORADO SAF,4/1/21,$,109.64,0.006,0.023,0.0214,0.0427,,,,,,,,0.01504822802,0.0060,0.0427,0.0233,,54
Fondo de Fondos,FONDO D FONDOS DEUDA LATAM CREDIFONDO SAF,CREDIFONDO SAF,7/8/12,$,132.15,0.0456,0.0594,-0.0928,-0.0013,0.0227,0.1331,-0.0434,0.0983,0.1288,-0.0638,0.0277,0.07513012832,-0.0928,0.1331,0.0286,99147351.12,571
Fondo de Fondos,Fondo de F. Cred. Cons. Global CREDIFONDO SAF,CREDIFONDO SAF,14/12/2017,$,159.11,0.0243,0.144,-0.1717,0.1929,0.1119,0.2572,-0.0309,0.0072,,,,0.1372865297,-0.1717,0.2572,0.0669,140270837.4,1052
Fondo de Fondos,Independiente Agresivo $ INDEPENDIENTE SAF,INDEPENDIENTE SAF,7/12/21,$,112.71,0.1027,0.1511,-0.128,0.0183,,,,,,,,0.1223467579,-0.1280,0.1511,0.0360,23037223.29,1866
Fondo de Fondos,PHI DEUDA INTERNACIONAL PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,22/05/2023,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,1190470.79,21
Fondo de Fondos,PRUDENTIALSAF SAF-PHI DEUDA INTERNACIONAL SERIE A,PRUDENTIALSAF SAF,22/05/2023,$,9.92,-0.0206,0.0132,,,,,,,,,,0.0239002092,-0.0206,0.0132,-0.0037,,14
Fondo de Fondos,PRUDENTIALSAF SAF-PHI DEUDA INTERNACIONAL SERIE B,PRUDENTIALSAF SAF,22/05/2023,$,10.03,-0.0161,0.0189,,,,,,,,,,0.02474873734,-0.0161,0.0189,0.0014,,7
Fondo de Fondos,PHI RV ESTRATEGIA GLOBAL PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,26/06/2023,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,6454419.18,81
Fondo de Fondos,PRUDENTIALSAF SAF-PHI RV ESTRATEGIA GLOBAL SERIE A,PRUDENTIALSAF SAF,26/06/2023,$,11.96,0.1057,0.0797,,,,,,,,,,0.01838477631,0.0797,0.1057,0.0927,,75
Fondo de Fondos,PRUDENTIALSAF SAF-PHI RV ESTRATEGIA GLOBAL SERIE B,PRUDENTIALSAF SAF,26/06/2023,$,12.13,0.1131,0.0877,,,,,,,,,,0.01796051224,0.0877,0.1131,0.1004,,6
Fondo de Fondos,Scotia FdF CP Internacional SCOTIA FONDOS,SCOTIA FONDOS,24/09/2021,$,10.7,0.0212,0.0321,-0.022,-0.0041,,,,,,,,0.02446562214,-0.0220,0.0321,0.0068,2896979.42,34
Fondo de Fondos,SCOTIA FF INSTITU RF GLOBAL SCOTIA FONDOS,SCOTIA FONDOS,26/07/2023,$,1075.01,0.018,0.0473,,,,,,,,,,0.02071822869,0.0180,0.0473,0.0327,103574492.3,31
Fondo de Fondos,Scotia Fondo de F. Acc. Europa SCOTIA FONDOS,SCOTIA FONDOS,20/03/2018,$,11.83,0.0921,0.2338,-0.2674,0.0829,0.0873,0.2057,-0.1684,,,,,0.1869511344,-0.2674,0.2338,0.0380,32887421.51,207
Fondo de Fondos,SCOTIA FONDO DE F. ACC. US SCOTIA FONDOS,SCOTIA FONDOS,19/06/2014,$,24.76,0.1791,0.3052,-0.2852,0.2695,0.1265,0.1987,-0.0475,0.2565,0.0328,0.0277,0.0228,0.1725835987,-0.2852,0.3052,0.0987,118501749.4,608
Fondo de Fondos,SCOTIA FONDO DE F. DEUDA HY SCOTIA FONDOS,SCOTIA FONDOS,28/03/2018,$,10.92,0.015,0.0999,-0.1286,0.0172,0.0091,0.096,-0.0173,,,,,0.07686145235,-0.1286,0.0999,0.0130,45431210.52,176
Fondo de Fondos,Scotia Fondo de F. Deuda IG SCOTIA FONDOS,SCOTIA FONDOS,4/5/18,$,10.09,0.0143,0.0572,-0.1308,-0.037,0.0298,0.075,0.0005,,,,,0.06886664477,-0.1308,0.0750,0.0013,55822107.35,188
Fondo de Fondos,SFdF Acciones Emergentes SCOTIA FONDOS,SCOTIA FONDOS,19/08/2014,$,4.33,0.0571,0.0629,-0.3307,-0.0097,-0.1362,0.0579,-0.1933,0.2462,0.2347,-0.3708,-0.1775,0.2078919256,-0.3708,0.2462,-0.0509,22246761.41,226
Fondo de Fondos,SFdF DISTRIBUTIVO HY SCOTIA FONDOS,SCOTIA FONDOS,11/3/20,$,979.48,-0.0088,0.0431,-0.1227,-0.025,0.1089,,,,,,,0.08583487054,-0.1227,0.1089,-0.0009,5783674.62,23
Fondo de Fondos,SFdF Distributivo HY II SCOTIA FONDOS,SCOTIA FONDOS,9/12/20,$,795.14,-0.0077,0.0343,-0.187,-0.0538,0.0104,,,,,,,0.08789267888,-0.1870,0.0343,-0.0408,84765869.1,208
