Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES FONDOS SURA SAF,FONDOS SURA SAF,19/05/2006,S/.,217.4,0.0312,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,0.03084970016,-0.0256,0.0786,0.0371,81386921.32,706
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $ CONTINENTAL FM,CONTINENTAL FM,21/10/1997,$,200.86,0.0224,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,0.03055449082,-0.0366,0.0607,0.0119,177449055.5,2106
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $ CREDIFONDO SAF,CREDIFONDO SAF,26/03/1996,$,262.2,0.0262,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,0.0298528147,-0.0360,0.0629,0.0183,602541809.2,5984
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO INTERFONDO,INTERFONDO,1/9/97,$,110.99,0.0143,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,0.02481593696,-0.0439,0.0440,0.0098,82708932.42,3915
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES CONTINENTAL FM,CONTINENTAL FM,2/12/08,S/.,159.73,0.0302,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,0.01801954999,0.0010,0.0713,0.0296,2336045532,70321
Inst. Deuda Corto Plazo S/,BBVA PERU SOLES CONTINENTAL FM,CONTINENTAL FM,23/03/2011,S/.,150.16,0.0311,0.0627,0.023,-0.0109,0.0204,0.0234,0.0227,0.0374,0.0429,0.0233,0.0286,0.01786250008,-0.0109,0.0627,0.0277,6870448.62,315
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,27/12/2005,S/.,192.78,0.0295,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,0.0228037756,-0.0195,0.0768,0.0318,276014134.7,4905
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV CONTINENTAL FM,CONTINENTAL FM,3/10/18,S/.,123.18,0.0312,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,0.02321283512,0.0014,0.0708,0.0273,201489307.6,381
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/ CREDIFONDO SAF,CREDIFONDO SAF,10/2/14,S/.,150.3,0.0326,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,0.019910171,-0.0076,0.0754,0.0369,579456773.9,10438
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/ CREDIFONDO SAF,CREDIFONDO SAF,6/4/00,S/.,327.82,0.0296,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,0.01786436779,0.0020,0.0721,0.0337,1882497471,30929
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,146.28,-0.0662,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,0.03705183838,-0.0662,0.0770,0.0327,9162875.23,200
Inst. Deuda Corto Plazo S/,SF Liquidez S/. SCOTIA FONDOS,SCOTIA FONDOS,30/01/2023,S/.,11.09,0.0271,0.0635,,,,,,,,,,0.02573868684,0.0271,0.0635,0.0453,1054430710,12662
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES FONDOS SURA SAF,FONDOS SURA SAF,25/03/2009,S/.,185.23,0.0335,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,0.0184189823,-0.0067,0.0670,0.0383,104117637.7,730
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES FONDOS SURA SAF,FONDOS SURA SAF,9/5/12,S/.,159.48,0.0309,0.0732,0.0462,0.0052,0.0156,0.0334,0.0303,0.0423,0.048,0.0419,0.0375,0.01769780161,0.0052,0.0732,0.0368,1406112805,2694
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES CONTINENTAL FM,CONTINENTAL FM,2/12/08,$,119.68,0.0247,0.0442,0.0122,0.001,0.0071,0.0188,0.0149,0.0082,0.0035,0.0013,0.0009,0.01311535533,0.0009,0.0442,0.0124,2959522214,19699
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $ CONTINENTAL FM,CONTINENTAL FM,16/06/2000,$,174.98,0.0256,0.0465,0.0036,0.0021,0.0118,0.0238,0.0173,0.0123,0.0084,-0.0056,0.0012,0.01459501783,-0.0056,0.0465,0.0134,648529609,2663
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $ CREDIFONDO SAF,CREDIFONDO SAF,18/02/2014,$,122.39,0.026,0.0516,0.0145,0.0034,0.0241,0.0297,0.0166,0.0135,0.0114,0.0075,0.0038,0.01403068715,0.0034,0.0516,0.0184,1352590299,5345
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $ CREDIFONDO SAF,CREDIFONDO SAF,6/5/99,$,184.53,0.0253,0.0483,0.0158,0.0028,0.0099,0.0219,0.0164,0.0088,0.0059,0.0043,0.0025,0.01353202263,0.0025,0.0483,0.0147,2986046639,14539
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,19/03/2015,$,111.26,-0.0977,0.0536,0.0088,0.0293,0.0262,0.034,0.0222,0.0191,0.0264,-0.0098,,0.04162081344,-0.0977,0.0536,0.0112,3993197.7,89
Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES FARO CAPITAL SAFI,FARO CAPITAL SAFI,9/8/22,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,8236943.49,23
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,9/8/22,$,104.48,0.0255,0.0089,0.0094,,,,,,,,,0.009442986816,0.0089,0.0255,0.0146,,1
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,9/8/22,$,108.25,0.0248,0.0448,0.0092,,,,,,,,,0.01784526081,0.0092,0.0448,0.0263,,22
Inst. Deuda Corto Plazo $,SF LIQUIDEZ $ SCOTIA FONDOS,SCOTIA FONDOS,31/01/2023,$,10.72,0.0238,0.0422,,,,,,,,,,0.01301076477,0.0238,0.0422,0.0330,2713326598,10060
Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES FONDOS SURA SAF,FONDOS SURA SAF,31/08/2009,$,134.64,0.0253,0.0482,0.0138,0.0065,0.0173,0.0311,0.0216,0.0165,0.0124,0.0052,0.0057,0.01283031212,0.0052,0.0482,0.0185,158920758.6,697
Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES FONDOS SURA SAF,FONDOS SURA SAF,19/07/2012,$,121.38,0.0254,0.0479,0.0149,0.0041,0.0116,0.025,0.0198,0.0117,0.0069,0.0031,0.0014,0.01357518458,0.0014,0.0479,0.0156,1106026103,2370
Flexible,BLUM BONOS GLOBALES FM BLUM SAF,BLUM SAF,25/03/2024,$,10.1,0.0091,,,,,,,,,,,#DIV/0!,0.0091,0.0091,0.0091,56543864.08,15
Flexible,Blum Capital Global FM BLUM SAF,BLUM SAF,23/09/2022,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,9273273.88,166
Flexible,BLUM SAF-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,12.8,0.0737,0.1345,0.0489,,,,,,,,,0.04404361475,0.0489,0.1345,0.0857,9273273.88,3
Flexible,BLUM SAF-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,12.76,0.0726,0.1325,0.0484,,,,,,,,,0.04329445692,0.0484,0.1325,0.0845,9273273.88,162
Flexible,BLUM SAF-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,12.85,0.0749,0.1368,0.0494,,,,,,,,,0.04494555966,0.0494,0.1368,0.0870,9273273.88,1
Flexible,Blum Cash FM BLUM SAF,BLUM SAF,11/8/22,$,10.83,0.0249,0.0459,0.0092,,,,,,,,,0.01841367246,0.0092,0.0459,0.0267,28684231.56,155
Flexible,Blum Cash S/ FM BLUM SAF,BLUM SAF,12/12/23,S/.,10.93,0.0279,0.0039,,,,,,,,,,0.01697056275,0.0039,0.0279,0.0159,2962710.39,363
Flexible,BLUM MONEY MARKET $ FM BLUM SAF,BLUM SAF,14/02/2023,$,10.71,0.0262,0.0441,,,,,,,,,,0.01265721138,0.0262,0.0441,0.0352,30344010.98,14
Flexible,Blum Renta Global FM BLUM SAF,BLUM SAF,16/03/2022,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,6299126.76,120
Flexible,BLUM SAF-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.3,0.0273,0.0622,-0.0571,,,,,,,,,0.06133767195,-0.0571,0.0622,0.0108,6299126.76,8
Flexible,BLUM SAF-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.26,0.0263,0.0606,-0.0584,,,,,,,,,0.06125299993,-0.0584,0.0606,0.0095,6299126.76,112
